Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Nthreads,Order,Original size,Preprocs,Query,Ratio
Memcpy,112846400,2758.92,msrc_split,6175.16,300 files,-1,0,8,1,f,112846400,None,0,100.0
SIMDBP128,17324672,5180.81,msrc_split,9890.95,300 files,-1,0,8,1,f,114762240,None,0,15.1
Simple8B,16724456,3181.71,msrc_split,7321.88,300 files,-1,0,8,1,f,111552320,None,0,14.99
Memcpy,451445760,5055.59,msrc_split,8011.81,300 files,-1,0,8,2,f,451445760,None,0,100.0
SIMDBP128,69930000,8244.8,msrc_split,16521.65,300 files,-1,0,8,2,f,467014400,None,0,14.97
Simple8B,67331904,3278.2,msrc_split,7341.56,300 files,-1,0,8,2,f,454622720,None,0,14.81
Memcpy,1031401280,4974.21,msrc_split,7819.84,300 files,-1,0,8,3,f,1031401280,None,0,100.0
SIMDBP128,153832656,7956.67,msrc_split,10719.0,300 files,-1,0,8,3,f,1019280000,None,0,15.09
Simple8B,152292336,3472.38,msrc_split,6738.8,300 files,-1,0,8,3,f,1018298240,None,0,14.96
Memcpy,1826464960,5009.04,msrc_split,7992.06,300 files,-1,0,8,4,f,1826464960,None,0,100.0
SIMDBP128,272714288,8167.56,msrc_split,16776.35,300 files,-1,0,8,4,f,1806399360,None,0,15.1
Simple8B,271424824,3455.9,msrc_split,6816.32,300 files,-1,0,8,4,f,1815251520,None,0,14.95
Memcpy,2840808640,5008.39,msrc_split,7925.06,300 files,-1,0,8,5,f,2840808640,None,0,100.0
SIMDBP128,427435024,7972.58,msrc_split,16687.99,300 files,-1,0,8,5,f,2829954880,None,0,15.1
Simple8B,421404952,3254.57,msrc_split,7579.21,300 files,-1,0,8,5,f,2824955840,None,0,14.92
Memcpy,4085079360,4986.15,msrc_split,7908.87,300 files,-1,0,8,6,f,4085079360,None,0,100.0
SIMDBP128,613822960,7996.57,msrc_split,16759.12,300 files,-1,0,8,6,f,4072878080,None,0,15.07
Simple8B,605067088,3440.25,msrc_split,7512.69,300 files,-1,0,8,6,f,4058246080,None,0,14.91
Memcpy,5558837440,5004.33,msrc_split,7754.26,300 files,-1,0,8,7,f,5558837440,None,0,100.0
SIMDBP128,832983552,8013.79,msrc_split,16810.42,300 files,-1,0,8,7,f,5534728000,None,0,15.05
Simple8B,825870120,3469.06,msrc_split,7305.84,300 files,-1,0,8,7,f,5529701120,None,0,14.94
Memcpy,7247595200,5044.77,msrc_split,7928.91,300 files,-1,0,8,8,f,7247595200,None,0,100.0
SIMDBP128,1088748448,8047.34,msrc_split,16758.55,300 files,-1,0,8,8,f,7227907200,None,0,15.06
Simple8B,1074688536,3438.26,msrc_split,7405.73,300 files,-1,0,8,8,f,7204886400,None,0,14.92
Memcpy,9169161280,4432.87,msrc_split,7087.9,300 files,-1,0,8,9,f,9169161280,None,0,100.0
SIMDBP128,1376287376,8135.13,msrc_split,15191.58,300 files,-1,0,8,9,f,9138381440,None,0,15.06
Simple8B,1361624880,3341.01,msrc_split,7615.36,300 files,-1,0,8,9,f,9135010240,None,0,14.91
Memcpy,11320374720,4985.83,msrc_split,7698.36,300 files,-1,0,8,10,f,11320374720,None,0,100.0
SIMDBP128,1694147712,7937.34,msrc_split,16934.52,300 files,-1,0,8,10,f,11254575040,None,0,15.05
